id,crossing_id,reported_at,wait_minutes,reported_by,source,raw_text,quality_flag,camera_avg_min
95,2,2026-05-04 09:49:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 09:49 | by mpb_kosovo | 5 min,no_camera_data,
94,2,2026-05-04 10:08:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 10:08 | by mpb_kosovo | 5 min,no_camera_data,
93,2,2026-05-04 10:38:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 10:38 | by mpb_kosovo | 5 min,no_camera_data,
92,2,2026-05-04 11:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 11:28 | by mpb_kosovo | 5 min,no_camera_data,
91,2,2026-05-04 11:49:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 11:49 | by mpb_kosovo | 5 min,no_camera_data,
90,2,2026-05-04 12:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 12:08 | by mpb_kosovo | 5 min,ok,1.8
98,2,2026-05-04 12:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 12:38 | by mpb_kosovo | 5 min,ok,1.8
106,2,2026-05-08 09:28:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 09:28 | by mpb_kosovo | Estimated waiting time by Google,no_camera_data,
105,2,2026-05-08 09:49:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 09:49 | by mpb_kosovo | 10 min,no_camera_data,
104,2,2026-05-08 10:08:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 10:08 | by mpb_kosovo | 10 min,no_camera_data,
103,2,2026-05-08 10:38:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 10:38 | by mpb_kosovo | 10 min,no_camera_data,
102,2,2026-05-08 11:28:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 11:28 | by mpb_kosovo | 10 min,no_camera_data,
101,2,2026-05-08 11:49:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 11:49 | by mpb_kosovo | 10 min,no_camera_data,
100,2,2026-05-08 12:08:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 12:08 | by mpb_kosovo | 10 min,no_camera_data,
99,2,2026-05-08 12:38:00+02,10,mpb_kosovo,borderalarm,Lastly reported | 10 min | 08.05.2026 12:38 | by mpb_kosovo | 10 min,no_camera_data,
107,2,2026-05-08 13:28:00+02,10,mpb_kosovo,borderalarm,Lastly reported | 10 min | 08.05.2026 13:28 | by mpb_kosovo | 10 min,ok,2
109,2,2026-05-08 13:49:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 13:49 | by mpb_kosovo | 10 min,ok,2
108,2,2026-05-08 14:08:00+02,10,mpb_kosovo,borderalarm,Lastly reported | 10 min | 08.05.2026 14:08 | by mpb_kosovo | 10 min,ok,2
117,2,2026-05-08 18:38:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 18:38 | by mpb_kosovo | Estimated waiting time by Google,ok,1.9
116,2,2026-05-08 19:28:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 19:28 | by mpb_kosovo | 10 min,no_camera_data,
115,2,2026-05-08 19:49:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 19:49 | by mpb_kosovo | 10 min,no_camera_data,
114,2,2026-05-08 20:08:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 20:08 | by mpb_kosovo | 10 min,no_camera_data,
113,2,2026-05-08 20:38:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 20:38 | by mpb_kosovo | 10 min,no_camera_data,
112,2,2026-05-08 21:28:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 21:28 | by mpb_kosovo | 10 min,no_camera_data,
111,2,2026-05-08 21:49:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 21:49 | by mpb_kosovo | 10 min,no_camera_data,
110,2,2026-05-08 22:08:00+02,10,mpb_kosovo,borderalarm,Lastly reported | 10 min | 08.05.2026 22:08 | by mpb_kosovo | 10 min,suspect_ratio_5.0x,2
118,2,2026-05-08 22:38:00+02,10,mpb_kosovo,borderalarm,Lastly reported | 10 min | 08.05.2026 22:38 | by mpb_kosovo | 10 min,suspect_ratio_5.0x,2
120,2,2026-05-08 23:28:00+02,10,mpb_kosovo,borderalarm,by mpb_kosovo | 10 min | 08.05.2026 23:28 | by mpb_kosovo | 10 min,suspect_ratio_5.0x,2
119,2,2026-05-08 23:49:00+02,10,mpb_kosovo,borderalarm,Lastly reported | 10 min | 08.05.2026 23:49 | by mpb_kosovo | 10 min,suspect_ratio_5.0x,2
