id,crossing_id,captured_at,interval_minutes,total_vehicles,cars,motorcycles,buses,trucks,lane_breakdown,fps
58,2,2026-05-03 03:38:04.61981,5,3,3,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 3, ""by_type"": {""car"": 3}}}",3
59,2,2026-05-03 03:43:04.85414,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
60,2,2026-05-03 03:48:04.921271,5,4,4,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
61,2,2026-05-03 03:53:05.255204,5,3,3,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 1, ""by_type"": {""car"": 1}}, ""Blace L3"": {""total"": 2, ""by_type"": {""car"": 2}}}",3
62,2,2026-05-03 03:58:05.387559,5,2,2,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 1, ""by_type"": {""car"": 1}}, ""Blace L3"": {""total"": 1, ""by_type"": {""car"": 1}}}",3
63,2,2026-05-03 04:03:05.490096,5,1,1,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 1, ""by_type"": {""car"": 1}}}",3
64,2,2026-05-03 04:08:05.682128,5,5,5,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3
65,2,2026-05-03 04:13:05.954647,5,2,2,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 2, ""by_type"": {""car"": 2}}}",3.5
66,2,2026-05-03 04:18:05.983572,5,4,4,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
67,2,2026-05-03 04:23:06.248571,5,6,6,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 3, ""by_type"": {""car"": 3}}, ""Blace L3"": {""total"": 3, ""by_type"": {""car"": 3}}}",3.5
68,2,2026-05-03 04:28:06.523428,5,8,8,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 3, ""by_type"": {""car"": 3}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3
69,2,2026-05-03 04:33:06.587557,5,1,1,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 1, ""by_type"": {""car"": 1}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
70,2,2026-05-03 04:38:06.669339,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
71,2,2026-05-03 04:43:06.88626,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3.5
72,2,2026-05-03 04:48:06.888156,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
73,2,2026-05-03 04:53:07.102583,5,2,2,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 2, ""by_type"": {""car"": 2}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
74,2,2026-05-03 04:58:07.111441,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
75,2,2026-05-03 05:03:07.415122,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
76,2,2026-05-03 05:08:07.517086,5,6,6,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 2, ""by_type"": {""car"": 2}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
77,2,2026-05-03 05:13:07.628119,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3.5
78,2,2026-05-03 05:18:07.795897,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
79,2,2026-05-03 05:23:07.875054,5,1,1,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 1, ""by_type"": {""car"": 1}}}",3
80,2,2026-05-03 05:28:08.008777,5,1,0,0,1,0,"{""Blace L1"": {""total"": 1, ""by_type"": {""bus"": 1}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
81,2,2026-05-03 05:33:08.01908,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3.5
82,2,2026-05-03 05:38:08.332351,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
83,2,2026-05-03 05:43:28.746798,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3.5
84,2,2026-05-03 05:48:29.011911,5,1,0,0,1,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 1, ""by_type"": {""bus"": 1}}}",3
85,2,2026-05-03 05:53:29.285289,5,0,0,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 0, ""by_type"": {}}}",3
86,2,2026-05-03 05:58:29.407047,5,1,1,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 1, ""by_type"": {""car"": 1}}}",3
87,2,2026-05-03 06:03:29.428718,5,3,3,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 3, ""by_type"": {""car"": 3}}}",3.5
88,2,2026-05-03 06:08:29.494996,5,2,1,0,1,0,"{""Blace L1"": {""total"": 1, ""by_type"": {""bus"": 1}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 1, ""by_type"": {""car"": 1}}}",3
89,2,2026-05-03 06:13:29.796003,5,5,5,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3
90,2,2026-05-03 06:18:29.870855,5,4,4,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
91,2,2026-05-03 06:23:29.950689,5,5,5,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 0, ""by_type"": {}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3.5
