id,crossing_id,track_id,vehicle_type,lane,entered_at,exited_at,duration_sec,was_reassigned,frame_count,avg_confidence,notes
3119,5,692,car,Kafasan L3,2026-05-06 17:50:10.562374+02,2026-05-06 17:50:39.269499+02,28.71,f,38,0.944,
3120,5,693,car,,2026-05-06 17:50:10.562374+02,2026-05-06 17:50:39.269499+02,28.71,f,38,0.707,
3196,5,694,car,,2026-05-06 17:50:38.969642+02,2026-05-06 18:00:52.009642+02,613.04,f,2486,0.49,
3121,5,695,car,,2026-05-06 17:50:39.576002+02,2026-05-06 17:50:42.102115+02,2.53,f,18,0.941,
3124,5,697,car,Kafasan L3,2026-05-06 17:50:42.409542+02,2026-05-06 17:50:50.323499+02,7.91,f,54,0.864,
3134,5,698,car,,2026-05-06 17:50:42.409542+02,2026-05-06 17:55:05.501569+02,263.09,f,836,0.432,
3123,5,3,car,,2026-05-06 17:50:44.220147+02,2026-05-06 17:50:46.758002+02,2.54,f,18,0.403,
3126,5,3,car,,2026-05-06 17:50:48.099487+02,2026-05-06 17:51:29.013042+02,40.91,f,121,0.44,
3125,5,701,car,,2026-05-06 17:50:52.559914+02,2026-05-06 17:51:23.201789+02,30.64,f,52,0.78,
3127,5,3,car,,2026-05-06 17:51:29.312644+02,2026-05-06 17:51:36.091568+02,6.78,f,47,0.408,
3128,5,3,car,,2026-05-06 17:51:36.838034+02,2026-05-06 17:52:43.867609+02,67.03,f,140,0.455,
3137,5,3,car,,2026-05-06 17:52:44.7627+02,2026-05-06 17:55:33.72856+02,168.97,f,514,0.432,
3129,5,729,car,,2026-05-06 17:52:49.349839+02,2026-05-06 17:52:51.564564+02,2.21,f,16,0.326,
3145,5,735,truck,Kafasan L1,2026-05-06 17:52:58.093256+02,2026-05-06 17:56:24.270915+02,206.18,f,608,0.925,lane_switch:Kafasan L1>Kafasan L2
3130,5,753,car,,2026-05-06 17:53:34.802435+02,2026-05-06 17:53:40.266367+02,5.46,f,38,0.812,
3131,5,754,truck,,2026-05-06 17:53:34.802435+02,2026-05-06 17:53:40.266367+02,5.46,f,38,0.336,
